title_norm,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
dead man,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
dead poets society,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
deadpool,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
deadpool 2,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
delicatessen,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
deliverance,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
der himmel uber berlin,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
der name der rose,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
der untergang,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
despicable me,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dial m for murder,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
diarios de motocicleta,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
die hard,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
die hard with a vengeance,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
dirty harry,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
district 9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
django unchained,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
do the right thing,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
doctor zhivago,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
dog day afternoon,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dogville,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
donnie brasco,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
donnie darko,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
double indemnity,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
down by law,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dr strangelove or how i learned to stop worrying and love the bomb,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dunkirk,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
e t the extra terrestrial,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
eastern promises,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ed wood,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
