film,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Released_Year,Runtime,IMDB_Rating,No_of_Votes,Gross,budget,revenue,popularity
Good Will Hunting,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1997.0,126,8.3,861606,138433435,10000000,225933435,43.734886
Gran Torino,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2008.0,116,8.1,720450,148095302,33000000,269958228,50.7453
Gravity,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2013.0,91,7.7,769145,274092705,105000000,716392705,110.153618
Guardians of the Galaxy,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014.0,121,8.0,1043455,333176600,170000000,773328629,481.098624
Halloween,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1978.0,91,7.7,233106,47000000,300000,70000000,30.301307
Harry Potter and the Goblet of Fire,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,2005.0,157,7.7,548619,290013036,150000000,895921036,101.250416
Harry Potter and the Half-Blood Prince,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2009.0,153,7.6,474827,301959197,250000000,933959197,98.885637
Her,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,2013.0,126,8.0,540772,25568251,23000000,47351251,53.682367
Home Alone,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1990.0,103,7.6,488817,285761243,18000000,476684675,2.186927
Hot Fuzz,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2007.0,121,7.8,463466,23637265,12000000,80573774,38.623178
Hotel Rwanda,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2004.0,121,8.1,334320,23530892,17500000,38000000,28.60542
How to Train Your Dragon,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2010.0,98,8.1,666773,217581231,165000000,494878759,67.263269
How to Train Your Dragon 2,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014.0,102,7.8,305611,177002924,145000000,609123048,100.21391
In Bruges,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2008.0,107,7.9,390334,7757130,15000000,34533783,25.329493
Incendies,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2010.0,131,8.3,150023,6857096,6800000,7103838,21.285206
Inception,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2010.0,148,8.8,2067042,292576195,160000000,825532764,167.58371
Indiana Jones and the Last Crusade,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1989.0,127,8.2,692366,197171806,48000000,474171806,80.972475
Inglourious Basterds,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2009.0,153,8.3,1267869,120540719,70000000,319131050,72.595961
Inside Man,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2006.0,129,7.6,339757,88513495,45000000,184376254,45.220386
Inside Out,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2015.0,95,8.1,616228,356461711,175000000,857611174,128.655964
Interstellar,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2014.0,169,8.6,1512360,188020017,165000000,675120017,724.247784
Into the Wild,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2007.0,148,8.1,572921,18354356,15000000,56255142,43.644978
Iron Man,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2008.0,126,7.9,939644,318412101,140000000,585174222,120.725053
Jaws,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1975.0,124,8.0,543388,260000000,7000000,470654000,50.152327
Jurassic Park,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1993.0,127,8.1,867615,402453882,63000000,920100000,40.413191
Kill Bill: Vol. 1,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2003.0,111,8.1,1000639,70099045,30000000,180949000,79.754966
Letters from Iwo Jima,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2006.0,141,7.9,154011,13756082,19000000,68673228,24.47248
Life of Pi,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2012.0,127,7.9,580708,124987023,120000000,609016565,51.328145
Little Miss Sunshine,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2006.0,101,7.8,439856,59891098,8000000,100523181,14.793177
"Lock, Stock and Two Smoking Barrels",True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1998.0,107,8.2,535216,3897569,1350000,3897569,16.032594
Mad Max: Fury Road,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2015.0,120,8.1,882316,154058340,150000000,378858340,434.278564
Magnolia,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1999.0,188,8.0,289742,22455976,37000000,48451803,30.993736
Memento,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2000.0,113,8.4,1125712,25544867,9000000,39723096,60.715151
Million Dollar Baby,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2004.0,132,8.1,635975,100492203,30000000,216763646,70.456012
Moneyball,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2011.0,133,7.6,369529,75605492,50000000,110206216,46.180421
"Monsters, Inc.",False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2001.0,92,8.1,815505,289916256,115000000,562816256,106.815545
Monty Python and the Holy Grail,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1975.0,91,8.2,500875,1229197,400000,5028948,64.782984
Moon,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,2009.0,97,7.9,335152,5009677,5000000,9760104,46.114184
Moonrise Kingdom,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2012.0,94,7.8,318789,45512466,16000000,68263166,41.083914
My Name Is Khan,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2010.0,165,8.0,98575,4018695,12000000,42345360,14.719886
Nightcrawler,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2014.0,117,7.9,466134,32381218,8500000,38697217,89.095538
Ocean's Eleven,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2001.0,116,7.7,516372,183417150,85000000,450717150,60.929352
Once,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,2007.0,86,7.8,110656,9439923,160000,20710513,19.052179
Pan's Labyrinth,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2006.0,118,8.2,618623,37634615,19000000,83258226,90.809408
Pirates of the Caribbean: The Curse of the Black Pearl,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2003.0,143,8.0,1015122,305413918,140000000,655011224,271.972889
Pride & Prejudice,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2005.0,129,7.8,258924,38405088,28000000,121147947,36.58383
Prisoners,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2013.0,153,8.1,601149,61002302,46000000,122126687,88.496873
Raiders of the Lost Ark,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1981.0,115,8.4,884112,248159971,18000000,389925971,68.159596
Ratatouille,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2007.0,111,8.0,641645,206445654,150000000,623722818,65.677399
Remember the Titans,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2000.0,113,7.8,198089,115654751,30000000,136706683,25.996219
Room,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2015.0,118,8.1,371538,14677674,6000000,35401758,66.11334
Schindler's List,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1993.0,195,8.9,1213505,96898818,22000000,321365567,104.469351
Se7en,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1995.0,127,8.6,1445096,100125643,33000000,327311859,79.579532
Seven Pounds,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2008.0,123,7.6,286770,69951824,55000000,168167691,41.472404
Sherlock Holmes,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2009.0,128,7.6,583158,209028679,90000000,524028679,57.834787
Shrek,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2001.0,90,7.8,613941,267665011,60000000,484409218,67.298732
Shutter Island,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2010.0,138,8.2,1129894,128012934,80000000,294804195,81.914696
Silver Linings Playbook,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2012.0,122,7.7,661871,132092958,21000000,205738714,63.599973
Sin City,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2005.0,124,8.0,738512,74103820,40000000,158733820,66.003433
Skyfall,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2012.0,143,7.7,630614,304360277,200000000,1108561013,93.004993
Slumdog Millionaire,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2008.0,120,8.0,798882,141319928,15000000,377910544,59.258969
Spotlight,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2015.0,129,8.1,420316,45055776,20000000,88346473,41.503588
Star Wars,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1977.0,121,8.6,1231473,322740140,11000000,775398007,126.393695
Stardust,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,2007.0,127,7.6,255036,38634938,70000000,135560026,48.032734
Straight Outta Compton,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2015.0,147,7.8,179264,161197785,28000000,201634991,61.76233
Tangled,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2010.0,100,7.7,405922,200821936,260000000,591794936,48.681969
The Artist,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2011.0,100,7.9,230624,44671682,15000000,133432856,29.943316
The Avengers,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2012.0,143,8.0,1260806,623279547,220000000,1519557910,144.448633
The Big Lebowski,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1998.0,117,8.1,732620,17498804,15000000,46189568,49.230089
The Big Short,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2015.0,130,7.8,362942,70259870,28000000,133346506,57.518472
The Blind Side,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2009.0,129,7.6,293266,255959475,29000000,309208309,25.767395
The Boondock Saints,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1999.0,108,7.8,227143,25812,6000000,30471,34.917447
The Bourne Identity,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2002.0,119,7.9,508771,121661683,60000000,214034224,86.476817
The Bourne Supremacy,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2004.0,108,7.7,434841,176241941,75000000,288500217,53.213931
