class,canonicalcategory,category,film,name,nominees,winner,detail,multifilmnomination
Production,ART DIRECTION,ART DIRECTION,The Adventures of Baron Munchausen,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,"Dante Ferretti, Francesca Lo Schiavo",False,nan,nan
Production,ART DIRECTION,ART DIRECTION,Batman,Art Direction: Anton Furst; Set Decoration: Peter Young,"Anton Furst, Peter Young",True,nan,nan
Production,ART DIRECTION,ART DIRECTION,Driving Miss Daisy,Art Direction: Bruno Rubeo; Set Decoration: Crispian Sallis,"Bruno Rubeo, Crispian Sallis",False,nan,nan
Production,ART DIRECTION,ART DIRECTION,Glory,Art Direction: Norman Garwood; Set Decoration: Garrett Lewis,"Norman Garwood, Garrett Lewis",False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,The Abyss,Mikael Salomon,Mikael Salomon,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Blaze,Haskell Wexler,Haskell Wexler,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Born on the Fourth of July,Robert Richardson,Robert Richardson,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,The Fabulous Baker Boys,Michael Ballhaus,Michael Ballhaus,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Glory,Freddie Francis,Freddie Francis,True,nan,nan
Production,COSTUME DESIGN,COSTUME DESIGN,The Adventures of Baron Munchausen,Gabriella Pescucci,Gabriella Pescucci,False,nan,nan
Production,COSTUME DESIGN,COSTUME DESIGN,Driving Miss Daisy,Elizabeth McBride,Elizabeth McBride,False,nan,nan
Production,COSTUME DESIGN,COSTUME DESIGN,Harlem Nights,Joe I. Tompkins,Joe I. Tompkins,False,nan,nan
Production,COSTUME DESIGN,COSTUME DESIGN,Henry V,Phyllis Dalton,Phyllis Dalton,True,nan,nan
Production,COSTUME DESIGN,COSTUME DESIGN,Valmont,Theodor Pistek,Theodor Pistek,False,nan,nan
Directing,DIRECTING,DIRECTING,Born on the Fourth of July,Oliver Stone,Oliver Stone,True,nan,nan
Directing,DIRECTING,DIRECTING,Crimes and Misdemeanors,Woody Allen,Woody Allen,False,nan,nan
Directing,DIRECTING,DIRECTING,Dead Poets Society,Peter Weir,Peter Weir,False,nan,nan
Directing,DIRECTING,DIRECTING,Henry V,Kenneth Branagh,Kenneth Branagh,False,nan,nan
Directing,DIRECTING,DIRECTING,My Left Foot,Jim Sheridan,Jim Sheridan,False,nan,nan
Title,DOCUMENTARY (Feature),DOCUMENTARY (Feature),Adam Clayton Powell,"Richard Kilberg and Yvonne Smith, Producers","Richard Kilberg, Yvonne Smith",False,nan,nan
Title,DOCUMENTARY (Feature),DOCUMENTARY (Feature),Common Threads: Stories from the Quilt,"Robert Epstein and Bill Couturié, Producers","Robert Epstein, Bill Couturié",True,nan,nan
Title,DOCUMENTARY (Feature),DOCUMENTARY (Feature),Crack USA: County under Siege,"Vince DiPersio and William Guttentag, Producers","Vince DiPersio, William Guttentag",False,nan,nan
Title,DOCUMENTARY (Feature),DOCUMENTARY (Feature),For All Mankind,"Al Reinert and Betsy Broyles Breier, Producers","Al Reinert, Betsy Broyles Breier",False,nan,nan
Title,DOCUMENTARY (Feature),DOCUMENTARY (Feature),Super Chief: The Life and Legacy of Earl Warren,"Judith Leonard and Bill Jersey, Producers","Judith Leonard, Bill Jersey",False,nan,nan
Title,DOCUMENTARY (Short Subject),DOCUMENTARY (Short Subject),"Fine Food, Fine Pastries, Open 6 to 9","David Petersen, Producer",David Petersen,False,nan,nan
Title,DOCUMENTARY (Short Subject),DOCUMENTARY (Short Subject),The Johnstown Flood,"Charles Guggenheim, Producer",Charles Guggenheim,True,nan,nan
Title,DOCUMENTARY (Short Subject),DOCUMENTARY (Short Subject),Yad Vashem: Preserving the Past to Ensure the Future,"Ray Errol Fox, Producer",Ray Errol Fox,False,nan,nan
Production,FILM EDITING,FILM EDITING,The Bear,Noëlle Boisson,Noëlle Boisson,False,nan,nan
Production,FILM EDITING,FILM EDITING,Born on the Fourth of July,"David Brenner, Joe Hutshing","David Brenner, Joe Hutshing",True,nan,nan
Production,FILM EDITING,FILM EDITING,Driving Miss Daisy,Mark Warner,Mark Warner,False,nan,nan
Production,FILM EDITING,FILM EDITING,The Fabulous Baker Boys,William Steinkamp,William Steinkamp,False,nan,nan
Production,FILM EDITING,FILM EDITING,Glory,Steven Rosenblum,Steven Rosenblum,False,nan,nan
Title,INTERNATIONAL FEATURE FILM,FOREIGN LANGUAGE FILM,Camille Claudel,France,nan,False,nan,nan
Title,INTERNATIONAL FEATURE FILM,FOREIGN LANGUAGE FILM,Cinema Paradiso,Italy,nan,True,nan,nan
Title,INTERNATIONAL FEATURE FILM,FOREIGN LANGUAGE FILM,Jesus of Montreal,Canada,nan,False,nan,nan
Title,INTERNATIONAL FEATURE FILM,FOREIGN LANGUAGE FILM,Waltzing Regitze,Denmark,nan,False,nan,nan
Title,INTERNATIONAL FEATURE FILM,FOREIGN LANGUAGE FILM,What Happened to Santiago,Puerto Rico,nan,False,nan,nan
Production,MAKEUP AND HAIRSTYLING,MAKEUP,The Adventures of Baron Munchausen,"Maggie Weston, Fabrizio Sforza","Maggie Weston, Fabrizio Sforza",False,nan,nan
Production,MAKEUP AND HAIRSTYLING,MAKEUP,Dad,"Dick Smith, Ken Diaz, Greg Nelson","Dick Smith, Ken Diaz, Greg Nelson",False,nan,nan
Production,MAKEUP AND HAIRSTYLING,MAKEUP,Driving Miss Daisy,"Manlio Rocchetti, Lynn Barber, Kevin Haney","Manlio Rocchetti, Lynn Barber, Kevin Haney",True,nan,nan
Music,MUSIC (Original Score),MUSIC (Original Score),Born on the Fourth of July,John Williams,John Williams,False,nan,nan
Music,MUSIC (Original Score),MUSIC (Original Score),The Fabulous Baker Boys,David Grusin,David Grusin,False,nan,nan
Music,MUSIC (Original Score),MUSIC (Original Score),Field of Dreams,James Horner,James Horner,False,nan,nan
Music,MUSIC (Original Score),MUSIC (Original Score),Indiana Jones and the Last Crusade,John Williams,John Williams,False,nan,nan
Music,MUSIC (Original Score),MUSIC (Original Score),The Little Mermaid,Alan Menken,Alan Menken,True,nan,nan
Music,MUSIC (Original Song),MUSIC (Original Song),Chances Are,Music by Tom Snow; Lyric by Dean Pitchford,"Tom Snow, Dean Pitchford",False,After All,nan
