actor,total_films,mean_rating,mean_gross,wins
Mel Gibson,3,7.833333333333333,51090832.666666664,5
Robert Shaw,3,8.0,149316666.66666666,16
Taika Waititi,3,7.766666666666667,2338518.3333333335,1
Steve McQueen,3,7.966666666666666,23424000.0,0
Sandra Bullock,3,7.666666666666667,194877493.33333334,11
Octavia Spencer,3,7.8,121372203.66666667,1
Natalie Portman,3,8.233333333333333,65655650.333333336,1
Matthew Broderick,3,8.033333333333333,173250048.66666666,5
Steve Carell,3,7.733333333333333,127221651.0,3
Sylvester Stallone,3,7.8,91405244.0,3
Ben Affleck,3,8.033333333333333,147408709.0,5
Ralph Fiennes,3,8.266666666666667,68007408.0,11
Alexandra Maria Lara,3,8.0,11109413.666666666,0
Robert Duvall,3,8.333333333333334,60558368.0,8
Naomi Watts,3,7.7,13541867.0,0
Michelle Williams,3,7.7,44606935.333333336,5
Amy Adams,3,7.8999999999999995,73243799.66666667,4
Shahab Hosseini,3,8.033333333333333,3202407.0,0
Arnold Schwarzenegger,3,8.1,100992966.0,4
Robin Wright,3,8.133333333333333,145571829.33333334,6
Martin Freeman,3,7.8,195002562.66666666,0
Roy Scheider,3,7.866666666666667,104484795.33333333,12
Anthony Hopkins,3,8.066666666666666,52942004.666666664,5
Nicole Kidman,3,7.866666666666667,49930856.0,0
Guillaume Canet,2,7.65,801534.0,0
Robert Patrick,2,8.15,162181376.0,5
Graham Chapman,2,8.149999999999999,10637156.0,0
Gwyneth Paltrow,2,7.75,185388055.5,0
Greg Kinnear,2,7.75,104184554.5,4
Tahar Rahim,2,7.85,1707616.5,0
Harvey Keitel,2,8.100000000000001,4916014.5,0
Gian Maria Volontè,2,8.15,14750000.0,0
Graham Greene,2,7.8,142110673.5,7
Richard Harris,2,7.8999999999999995,209366498.5,4
Heath Ledger,2,8.35,308951102.5,5
Helen Hunt,2,7.75,191055076.5,2
Wiley Wiggins,2,7.699999999999999,5442525.0,0
Ginnifer Goodwin,2,7.9,230393825.0,2
Martin Balsam,2,8.45,37480000.0,4
Vivien Leigh,2,8.05,103338229.5,14
Richard Griffiths,2,7.800000000000001,125451808.0,0
Paul Reiser,2,8.4,49126124.0,5
James Coburn,2,7.75,7085639.0,1
Peter O'Toole,2,8.0,44404187.0,16
Peter Sellers,2,8.2,15226706.5,1
Philippe Noiret,2,8.1,16919666.5,0
Preity Zinta,2,7.9,2354558.0,0
Jacob Tremblay,2,8.05,73550241.5,1
Talia Shire,2,7.85,91950654.5,3
Radha Mitchell,2,7.65,64796193.5,1
Valeria Golino,2,8.05,91279927.0,4
Ricardo Darín,2,8.05,3806348.5,0
Richard Armitage,2,7.8,280685211.5,0
J.K. Simmons,2,8.25,82096901.5,9
Irène Jacob,2,7.949999999999999,3021820.5,0
Irrfan Khan,2,7.85,64609261.5,4
Ingrid Bergman,2,8.2,5744280.0,3
Iko Uwais,2,7.8,3365463.0,0
Viola Davis,2,8.05,115355207.0,1
Richard Dreyfuss,2,7.8,196044317.5,5
Holly Hunter,2,7.8,435011418.0,2
Richard Farnsworth,2,7.9,33739958.0,1
Richard Attenborough,2,8.149999999999999,207276941.0,3
Rolf Lassgård,2,7.7,1885531.0,0
Roberto Benigni,2,8.2,29517123.5,0
George Sanders,2,8.149999999999999,2185088.5,8
Emma Thompson,2,7.699999999999999,33068872.0,1
Emily Mortimer,2,7.8999999999999995,75551430.0,0
Saoirse Ronan,2,7.8,79514140.5,4
Emily Blunt,2,7.75,73547774.5,0
Emile Hirsch,2,7.85,80428542.0,2
Ellen Burstyn,2,8.15,118270813.5,2
